nodeID,X_centroid,Y_centroid
2,741156.32072460034,3390007.11846176814
3,741351.83472199622,3389957.71449041413
4,741161.34782420972,3389958.20334132574
5,741501.71480825928,3389954.90253973054
6,741373.10185253003,3389953.85533920955
7,741600.53591421631,3389833.46361557674
8,741332.95361848059,3389931.44408432674
9,741321.09886180738,3389914.50267807674
10,741357.44836945715,3390047.89200099371
11,741143.04864004639,3390033.67032130621
12,741324.81266795972,3389914.58574692439
13,741519.31449901441,3389988.56589015387
14,741675.42814647534,3390078.78185288142
15,741674.47461457434,3390101.77357244538
16,741671.88578807691,3390109.80360174226
17,741674.03229279700,3390072.91370916413
18,741622.12465933349,3389922.16472641658
19,741667.17676301184,3390133.96218125056
20,741678.76707469800,3390066.68299627351
21,741681.61611441162,3390075.41867335699
22,741678.70451366284,3390069.59980535554
24,741445.74217235425,3389958.48408269929
25,741675.62618521240,3390070.19797023199
26,741367.06488557043,3389959.97368637752
27,741508.43890900793,3389976.98239406012
28,741675.72508251050,3390075.36968247127
29,741643.15649933997,3389979.41846990632
30,741673.71971141675,3390077.07577784918
31,741668.89661164465,3390067.87922430085
32,741670.25071727613,3390076.08070135163
33,741671.31848664465,3390077.27198553132
34,741541.61513784912,3390192.51513942145
35,741178.90100617590,3389964.68275213288
36,741666.56822215894,3390074.08064031648
37,741157.91900137451,3390062.35245021246
38,741142.84620677808,3389984.30429347418
39,741166.38348908606,3390035.69312810944
40,741168.50410472730,3389989.21442937898
41,741161.13300080481,3390045.58137273835
42,741276.32286083081,3390061.66761541413
43,741149.68524689856,3389981.03879054449
44,741170.55652375403,3389976.00280014705
45,741145.01836660889,3389975.26437648199
46,741150.64383454504,3389968.13614161871
47,741155.52950552490,3389973.41533676814
48,741150.79485586670,3389970.80779282283
49,741158.18594880286,3389972.22407293366
50,741148.38335684326,3389962.16533676814
51,741157.15987661865,3389969.53284978913
52,741338.43402619543,3389871.94961818121
53,741159.17566437903,3389967.32673406648
54,741165.24911001709,3389959.70795965241
55,741166.78032949951,3389969.16444158601
56,741220.79490672925,3389935.52047999762
57,741155.34748851636,3389953.39958969783
59,741321.95903026441,3389866.24447902106
60,741154.07124339917,3389961.37568426179
61,741155.14379385498,3389991.16657781648
63,741129.35543325928,3390002.09585841559
65,741141.94028229895,3389957.26838445710
66,741133.32434601965,3390010.02261622809
67,741132.81413280347,3389993.83515691804
68,740961.38474030676,3390079.55172999762
69,741126.37584951904,3390017.87171697663
70,741046.53243521240,3389984.31745672273
71,741124.77687084058,3390011.24881251715
72,741149.56438711670,3390054.91141017340
73,741130.92300934973,3390019.72443914460
74,741144.79901642981,3390014.44829575252
75,741122.63585928467,3390028.62759669684
76,741145.61140453198,3390026.72356430721
77,741131.01668814209,3390025.14633448981
78,741151.88262442139,3390029.28197495174
79,741349.67834992590,3389956.41564194392
80,741548.27533478918,3389953.52786525153
81,741496.90493277099,3390110.96699285554
82,741370.16408804443,3389958.20873276424
83,741363.64268504956,3389966.40089178132
84,741372.26314810303,3389961.67453273199
85,741363.63212596753,3389976.73996241949
86,741366.03912873450,3389936.27092758846
87,741289.81460073974,3389976.42103338288
88,741337.78208934644,3389930.30156723689
89,741375.14807648840,3390008.68240626715
90,741334.33439647534,3389898.95653549861
91,741370.26310741284,3389954.04180161189
92,741346.81905630615,3389936.17388169002
93,741364.68451447668,3389958.91981267976
94,741344.98541779700,3389950.89108546637
95,741366.48692333081,3389946.61984523199
96,741357.60586050537,3389962.76376613043
97,741361.00199901441,3389957.66987371491
98,741360.65814728918,3389962.99877182674
99,741357.43400585034,3389960.75861883210
100,741343.76664745191,3389946.27790594148
101,741357.13198355224,3389955.41511297273
102,741360.13751740637,3389947.47814194392
103,741321.21324169019,3389928.93006658601
104,741324.92704784253,3389929.01313543366
105,741346.79285187903,3389948.01325750398
106,741344.34489452222,3389939.12027247809
107,741339.16750601318,3389936.50275945710
108,741344.90216584387,3389943.88538885163
109,741334.45862336340,3389953.15666977596
110,741341.02112336340,3389982.15343491267
111,741347.57931021240,3389952.61665105866
112,741337.43793244543,3389956.89196030330
113,741353.94940705481,3389960.51358302496
114,741359.04860952881,3389966.88156398199
115,741353.41805532959,3389964.67085027741
116,741354.12126170972,3389962.51873032283
117,741340.62543244543,3389970.80461899471
118,741355.29311636474,3389968.79867823981
119,741339.52132681396,3389961.35786199616
